اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
Sigmatec For Pharmaceutical Industries,,أدوية ومستحضرات تجميل ومستلزمات طبية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238278760,—,، 6th Industrial Zone,"https://www.google.com/maps?q=29.93648,30.864813",29.93648,30.864813,pharmaceutical_companies,d7be0551-c431-4cac-867f-c05c8bbba319
Biolink-Egypt For Chemical Industries,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20233821432,http://www.Biolink-Egypt.com/,A9 Engineering Square Industrial Park,"https://www.google.com/maps?q=29.932919,30.864717",29.932919,30.864717,chemical_plant,6b09d660-6893-4015-834d-a128621eb0c8
Alandalous Pharmaceutical,,أدوية ومستحضرات تجميل ومستلزمات طبية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238243257,http://www.alandalous.org/,الجيزه - الواحات البحرية,"https://www.google.com/maps?q=29.931026,30.865412",29.931026,30.865412,pharmaceutical_companies,6df32720-4694-4537-82f3-e355caa2e575
Smart Plast,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201149035609,—,6 شارع حي السكرية,"https://www.google.com/maps?q=29.913872,30.865595",29.913872,30.865595,plastic_manufacturer,e758d4f9-d544-434d-93f8-5d534a1439dd
Aqua Flow - اكوا فلو,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.aquaflow.com.eg/,6th. Of October,"https://www.google.com/maps?q=29.964455,30.866091",29.964455,30.866091,plastic_manufacturer,da64d9bf-9127-4266-b9bf-5eac6e50c529
حلاوة و طحينة أركان - Arkan Halawa &Tahini,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201028883777,http://www.arkanfoods.co/,5 شارع 5,"https://www.google.com/maps?q=29.937963,30.866543",29.937963,30.866543,shopping,d296fb57-02ff-4416-bc7d-9bdac15e54bb
EL Salam Plast,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201066648108,http://www.elsalamplast.com/,"Plot 492, رقم 18_3","https://www.google.com/maps?q=29.913057,30.866249",29.913057,30.866249,plastic_company,d09b04c9-a51c-4023-b3d6-a1dce5da2e08
Proglass Factory,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38642300,http://www.proglass-egypt.com,"CPC Industrial Park, Block 2, Developers Area, Northern Extensions, 6th of October City, No. 114","https://www.google.com/maps?q=29.955648,30.866959",29.955648,30.866959,commercial_industrial,1192ef89-968a-4aa3-bc1b-ee4b4950350f
Red.Spark.Machines,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201065657956,—,القطعة رقم 510 - المنطقة الصناعيه مخازن الشباب - مدينة 6 اكتوبر محافظه الجيزة,"https://www.google.com/maps?q=29.913952,30.867722",29.913952,30.867722,machine_shop,ff623798-4cf3-4727-8459-de7e11f352d4
Target mix,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201098697193,—,المنطقة الصناعية، ثان 6 اكتوبر،،,"https://www.google.com/maps?q=29.920933,30.86792",29.920933,30.86792,community_services_non_profits,d97ce06c-777a-43f9-9207-e8f96e633d73
مخازن كازيون اكتوبر,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,المنطقة الصناعية,"https://www.google.com/maps?q=29.930031,30.868361",29.930031,30.868361,,e1122ad7-c13d-431f-9f09-02defd2c76df
Premco Precast Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004422392,https://premco-precast.com/,"CPC Industrial park, Block #2, Developers land, Industrial zone, 6th of October city, Giza, Egypt","https://www.google.com/maps?q=29.959183,30.869341",29.959183,30.869341,construction_services,0986cc8f-9cb3-4efb-90c6-e4cf770c3e9b
Alwan Ice Cream,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201094833988,https://goo.gl/maps/fcaTwudM4EmXLEdv7,‏السادس من أكتوبر ، المنطقه الصناعيه ‏، ‏محافظة الجيزة‏، ‏مصر‏ ,"https://www.google.com/maps?q=29.934118,30.869148",29.934118,30.869148,ice_cream_shop,537e7c5a-25db-4f8c-9e03-15d5a808e510
masa,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201099565845,—,، المنطقة الصناعية،,"https://www.google.com/maps?q=29.913406,30.869764",29.913406,30.869764,business_manufacturing_and_supply,e8727acf-4dc3-4a44-9e91-b6209bf8c245
Iron Pack,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201005072214,—,822 Street 706,"https://www.google.com/maps?q=29.910543,30.86968",29.910543,30.86968,business_manufacturing_and_supply,e26a8204-2bc7-4641-b436-08c9eefb3f4f
Geochem,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201066326316,http://www.geo-chem.com/,"Of, 849 Giza-City","https://www.google.com/maps?q=29.909702,30.869371",29.909702,30.869371,business_manufacturing_and_supply,04528103-3bc1-4f2b-9968-6fb293ea8198
Egypt Technology (laboratory and scientific equipment)-ايجيبت تكنولوجى لتصنيع الأجهزة العلمية والمعملية,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,01112043338,https://egyptech.net/,814 Youth Stores,"https://www.google.com/maps?q=29.909885,30.868906",29.909885,30.868906,laboratory_equipment_supplier,0d06e8a7-7938-4df8-a142-74f7e4d75280
Elkhabaz,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201006268135,http://WWW.ELKHABAZPLAST.WEBNODE.COM/,104 Industrial zone youth stores 300 meters Block NO. 120 - 6 October - Giza – Egypt,"https://www.google.com/maps?q=29.912294,30.870544",29.912294,30.870544,plastic_manufacturer,da0f6c08-3d2c-4241-bce3-694f9e95ff00
Cairo Shades - كايروشيدز,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201288222656,http://www.cairoshades.com/,Cairo,"https://www.google.com/maps?q=29.913223,30.870083",29.913223,30.870083,commercial_industrial,33d7f918-1850-49c0-9124-ae07bb32d1d1
الشركة الهندسية لخدمات المياه وحفر الأبار,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201066638935,https://hndcya-pumps.com/,٦ اكتوبر .امتداد، القطعة 58، مدينة 6 أكتوبر، امتداد الثالثة,"https://www.google.com/maps?q=29.935621,30.87035",29.935621,30.87035,industrial_equipment,26e15932-5695-4c7e-815f-26ba898b3ffb
Al-Safwa Industry الصفوة للصناعة,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201201111920,http://www.alsafwa-eg.com/,"26,CPC Industrial Park,6th of October City-Egypt","https://www.google.com/maps?q=29.954784,30.871195",29.954784,30.871195,industrial_equipment,633cc767-6331-49c2-8b29-965a1ef6634b
DSV,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20 2 22460128,https://www.dsv.com/en/countries/africa/egypt,"Plot 167, 6th industrial area extension of 6th industrial area","https://www.google.com/maps?q=29.941446,30.870806",29.941446,30.870806,freight_and_cargo_service,da3db9fe-2a73-43ac-9bf4-9b5343ed549c
Mars Egypt,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238288500,—,3 شارع المنطقه الصناعية,"https://www.google.com/maps?q=29.933823,30.870659",29.933823,30.870659,corporate_office,9e73f81f-b269-4e60-9607-879dd605b2f1
MOM Industries,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201097347482,https://www.mom-industries-eg.com/,6th October industries street 719,"https://www.google.com/maps?q=29.913372,30.870657",29.913372,30.870657,business_manufacturing_and_supply,477f16e6-1b4e-43ce-8719-9c746bd06ba2
Auto Vario,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000124215,https://www.autovario-egy.com/,"مصنع دجلة للكيماويات, السادس من أكتوبر، Egypt-امتداد المنطقة الصناعية السادسة بجوار","https://www.google.com/maps?q=29.915464,30.870674",29.915464,30.870674,business_manufacturing_and_supply,41cd0a76-5069-4f35-8bd5-c6e10449fe49
Promill Engineering Industries,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201061010109,http://www.promilleg.com/,300 area,"https://www.google.com/maps?q=29.914801,30.87072",29.914801,30.87072,engineering_services,e4e900cd-4db3-493c-9200-daf41b25b12c
Al Saqr Steel ,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000128005,https://alsaqrsteel.com/,"6 October-Sixth Industrial\nZone-plot.83,Giza,Egypt","https://www.google.com/maps?q=29.919241,30.871201",29.919241,30.871201,metal_fabricator,e0d7afdf-11a1-4517-9a2c-16ddd81375be
Modern Engineer Industries,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201092082584,—,الجيزة,"https://www.google.com/maps?q=29.914619,30.871273",29.914619,30.871273,engineering_services,20a43e7c-566e-4d5e-a1e9-815f7e30290e
Egyptian Electronics Recycling,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201062218955,https://www.eerc-group.com/,787، Industrial Zone,"https://www.google.com/maps?q=29.914324,30.871237",29.914324,30.871237,recycling_center,d3b37f0f-fd12-4a5e-a9c6-46a99c1728a2
Al-Hazem Steel Factory,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201097777753,https://steel.al-hazemcon.com/,"lot#112, 6th of October city, CPC's park, Egypt","https://www.google.com/maps?q=29.952301,30.87171",29.952301,30.87171,engineering_services,4234e787-190e-43e4-9b1a-3a7c8ebfefd6
Advanced TruLaser,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201065525605,http://www.Advancedegy.net/,Unnamed Road,"https://www.google.com/maps?q=29.952993,30.871624",29.952993,30.871624,professional_services,30d67811-3dfc-4a50-bd17-30fcfdcfaa49
Raya Auto - راية أوتو,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201091836367,http://www.rayaauto.com/,قطعة ٣٣ منطقة بولاريس الدولية الصناعية ارض المطورين - المنطقة الصناعية الرابعة-مدينة ٦ أكتوبر,"https://www.google.com/maps?q=29.961945,30.872747",29.961945,30.872747,automotive_services_and_repair,b978821a-96f5-4df6-b087-f49247dd8db0
Cairo Foam Sales Khaled Mahmoud كايرو فوم  إدارة المبيعات  خالد محمود,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201110002032,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.941511,30.872143",29.941511,30.872143,engineering_services,263214e9-b12d-48ad-85fc-e15358639a30
المصرية لصيانة وسائل النقل,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201024636215,—,القطعة 195 - مخازن الشباب - المنطقة الصناعية السادسة,"https://www.google.com/maps?q=29.914036,30.872522",29.914036,30.872522,truck_repair,7236afe5-2493-42c3-8150-7c65ce5b2c49
Egypanel Factory,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201141112611,http://egypanels.com/,المنطقة الصناعية,"https://www.google.com/maps?q=29.911383,30.872244",29.911383,30.872244,furniture_store,a4588d4c-f1a6-4cce-887f-65bdbe6303ee
مجموعة شركات الامين لصناعة المواسير ومنتجات البلاستيك,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38243341,http://www.alaminforpipes.com,القطعة 28 - - المنطقة الصناعية السادسة,"https://www.google.com/maps?q=29.924793,30.87347",29.924793,30.87347,building_supply_store,3cd69958-105a-4313-961c-c628f9ce815a
"Diamond for doors, windows & facade systems.",,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201095544448,http://Www.diamond-dwf.com/,Street 26,"https://www.google.com/maps?q=29.930414,30.873472",29.930414,30.873472,windows_installation,aa3b8a09-d9c5-4deb-989e-fc4e573e2dcc
انسيكو - الشركة الدولية للهندسة والانشاءات,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38290296,http://www.incecoegypt.com,القطعة 81 - - امتداد المنطقة الصناعية الثالثة,"https://www.google.com/maps?q=29.932177,30.873304",29.932177,30.873304,construction_services,a8cd2dbd-5afd-4c51-8994-c0d7cb1f350f
Marina For Armored Doors - مارينا للأبواب المصفحة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201222168014,http://www.marinadoors.com/,السادس من اكتوبر,"https://www.google.com/maps?q=29.951033,30.873392",29.951033,30.873392,industrial_company,1d1695da-74c3-4520-baf5-510a0f0646aa
Kevanobaths - بانيو كيفانو,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201155464444,https://www.linkedin.com/company/kevano,السادس من اكتوبر,"https://www.google.com/maps?q=29.951069,30.873512",29.951069,30.873512,contractor,c3054b04-220e-4053-95a1-b6e1197bc2c0
NovoChem Factory,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201001593941,http://www.novochemshop.com/,Street 26,"https://www.google.com/maps?q=29.931196,30.873547",29.931196,30.873547,chemical_plant,22b9c045-f5d6-4777-9997-9b1123c72d78
